"Contract #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"89282","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Midland Radiator Service Company","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89281","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","petes welding co. inc.","RFP/NJCOOP","$3,195.00","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89279","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Air Brake & Equipment","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89276","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Perth Amboy Spring Works Inc.","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89275","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Houpert Fleet Services","RFP/NJCOOP","$778,453.71","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89274","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","A Lembo Car & Truck Collision Inc","RFP/NJCOOP","$45,859.01","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89273","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","on-site fleet service inc","RFP/NJCOOP","$29,914.49","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89261","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Miller Ford Sales","RFP/NJCOOP","$80,451.22","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89257","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Robert H. Hoover & Sons Inc","RFP/NJCOOP","$43,329.38","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89099","","T1818 - SERVICES COUNCIL                        DEPT. OF HUMAN SERVICES                             ","ASSOCIATION FOR CHOICES IN COMMUNITY SUPPORTS AND EMPLOYMENT SERVICES","N.J.S.A. 30:6-23 Set-Aside","$67,937,730.93","Division of Purchase and Property ","3PS - Sent","09/01/1999","06/30/2026"
"89072","","T1817 - COMMODITIES COUNCIL                     DEPT. OF HUMAN SERVICES                             ","ASSOCIATION FOR CHOICES IN COMMUNITY SUPPORTS AND EMPLOYMENT SERVICES","N.J.S.A. 30:6-23 Set-Aside","$29,221,906.94","Division of Purchase and Property ","3PS - Sent","09/01/1999","06/30/2026"
"89000","","T2970 - PUBLIC INFORMATION VIDEO SYSTEM WITH    CUSTOMER QUEUE SYSTEM- MVC                          ","RNS Communications Inc.dba Motor Vehicle Network","RFP/SC-SBE","$5,710,662.65","Division of Purchase and Property ","3PS - Sent","06/24/2015","12/23/2025"
"88846","","T2969 - FACILITY MANAGEMENT & OPERATION OF PHEAL","Working Buildings LLC","RFP","$20,895,717.07","Division of Purchase and Property ","3PS - Sent","07/01/2015","03/31/2026"
"88838","","T3007 - ENHANCED DECISION & INFORMATION SYSTEM OF NEW JERSEY (EDISON)","Affinity Global Solutions","RFP/SC-SBE","$4,833,501.59","Division of Purchase and Property ","3PS - Sent","04/07/2015","04/06/2026"
"88783","","T2409 - MEDICAID MANAGEMENT INFORMATION SYSTEM  MMIS                                                ","Gainwell Technologies LLC","RFP/SC-SBE","$575,933,683.72","Division of Purchase and Property ","3PS - Sent","05/01/2015","04/30/2026"
"88722","","T3017 - PILOT AND TECHNICIAN TRAINING           FOR ROTARY AND FIXED WING AIRCRAFT                  ","Priority 1 Air Rescue Operations (Arizona), LP","RFP/NJCOOP","$234,727.09","Division of Purchase and Property ","3PS - Sent","03/01/2015","02/28/2026"
"88721","","T3017 - PILOT AND TECHNICIAN TRAINING           FOR ROTARY AND FIXED WING AIRCRAFT                  ","Survival Systems USA Inc","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","12/01/2014","02/28/2026"
"88720","","T3017 - PILOT AND TECHNICIAN TRAINING           FOR ROTARY AND FIXED WING AIRCRAFT                  ","AgustaWestland Philadelphia Corporation","RFP/NJCOOP","$3,860,601.29","Division of Purchase and Property ","3PS - Sent","03/01/2015","02/28/2026"
"88680","","T0640 - FENCE: CHAIN LINK, ROCK FALL, WOODEN,   VINYL AND ORNAMENTAL (INSTALL & REPLACE)            ","Consolidated Steel & Aluminum Fence Co., Inc.","RFP/NJCOOP/SBE","$875,203.97","Division of Purchase and Property ","3PS - Sent","03/01/2015","06/30/2026"
"88679","","T0640 - FENCE: CHAIN LINK, ROCK FALL, WOODEN,   VINYL AND ORNAMENTAL (INSTALL & REPLACE)            ","EB Fence LLC","RFP/NJCOOP/SBE","$1,145,452.05","Division of Purchase and Property ","3PS - Sent","03/01/2015","06/30/2026"
"88273","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","A&K EQUIPMENT CO INC","RFP/NJCOOP","$5,347.26","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88272","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","Creston Hydraulics Inc.","RFP/NJCOOP","$77,095.00","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88271","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","Tony Sanchez Ltd","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88270","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","Van Dine Motors Inc.","RFP/NJCOOP","$40,154.32","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88268","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","cliffside body corp","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88266","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","Kolmetz Corp","RFP/NJCOOP","$69,942.00","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88265","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","Greelco Inc.","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88264","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","H A Dehart & Son Inc","RFP/NJCOOP","$31,039.80","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88263","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","Valk Manufacturing Company","RFP/NJCOOP","$1,251.95","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88262","","T0085 - SNOW PLOW PARTS, AND GRADER AND         LOADER BLADES                                       ","Chemung Supply Corporation","RFP/NJCOOP","$167,955.50","Division of Purchase and Property ","3PS - Sent","01/20/2015","01/19/2026"
"88210","","T0448 - UNIFORMS - (NEW JERSEY STATE POLICE) - CLASS ""A"" CRUISER AND BLOUSE - REBID","SOMES UNIFORMS INC","RFP","$1,149,566.20","Division of Purchase and Property ","3PS - Sent","12/01/2014","01/30/2026"
"88207","","T2605 - ENERGY TRACKING AND BILL                MANAGEMENT SYSTEM                                   ","AvidXchange Inc.","RFP/NJCOOP/SC-SBE","$2,174,303.49","Division of Purchase and Property ","3PS - Sent","12/01/2014","11/30/2025"
"88146","","T0462 - FACILITY MANAGEMENT SERVICES JOSEPH KOHN TRAINING CENTER","GRM Facilities Mgt. Inc.","RFP","$2,503,410.79","Division of Purchase and Property ","3PS - Sent","01/01/2015","04/30/2026"
"87774","","T2302 - NEW JERSEY STATEWIDE LONGITUDINAL DATA  SYSTEM - NJ SMART SEMI MAC                          ","Public Consulting Group LLC","RFP/SC-SBE","$115,984,951.52","Division of Purchase and Property ","3PS - Sent","09/01/2014","08/31/2025"
"87504","","T0172 - MAINTENANCE OF AIRCRAFT                 PARTS AND SERVICE                                   ","Mecaer Aviation Group Inc.","RFP/NJCOOP","$41,530,891.17","Division of Purchase and Property ","3PS - Sent","08/01/2014","02/28/2026"
"86917","","T2890 - RESIDENTIAL RE-ENTRY PROGRAMMING &      SERVICES FOR THE STATE PAROLE BOARD                 ","Volunteers of America Delaware Valley Inc","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2014","12/31/2025"
"86393","","T2858 - REFRIGERATED SEMITRAILERS, 42 FT. AND 48 FT.","H A Dehart & Son Inc","","$0.00","Division of Purchase and Property ","3PS - Sent","04/14/2014","04/13/2026"
"86390","","T0448 - UNIFORMS - CLASS ""A"", ""B"" AND SECURITY  OFFICER, AND SHOES CLASS ""A"" - NJSP                 ","ANCHORTEX CORPORATION","RFP/SBE","$430,889.60","Division of Purchase and Property ","3PS - Sent","05/01/2014","01/30/2026"
"86388","","T0448 - UNIFORMS - CLASS ""A"", ""B"" AND SECURITY  OFFICER, AND SHOES CLASS ""A"" - NJSP                 ","SOMES UNIFORMS INC","RFP/SBE","$985,074.01","Division of Purchase and Property ","3PS - Sent","05/01/2014","01/30/2026"
"86387","","T0448 - UNIFORMS - CLASS ""A"", ""B"" AND SECURITY  OFFICER, AND SHOES CLASS ""A"" - NJSP                 ","keystone uniform cap","RFP/SBE","$177,765.55","Division of Purchase and Property ","3PS - Sent","05/01/2014","01/30/2026"
"86327","","T2621 - NJDEP REMEDIAL INVESTIGATION/DESIGN     ACTION SERVICE TERM CONTRACT                        ","Kleinfelder, Inc.","RFP","$7,522,323.17","Division of Purchase and Property ","3PS - Sent","04/08/2014","10/07/2025"
"86326","","T2621 - NJDEP REMEDIAL INVESTIGATION/DESIGN     ACTION SERVICE TERM CONTRACT                        ","Weston Solutions Inc.","RFP","$16,810,199.56","Division of Purchase and Property ","3PS - Sent","04/08/2014","10/07/2025"
"86325","","T2621 - NJDEP REMEDIAL INVESTIGATION/DESIGN     ACTION SERVICE TERM CONTRACT                        ","H2M Associates Inc.","RFP","$7,568,144.39","Division of Purchase and Property ","3PS - Sent","04/08/2014","10/07/2025"
"86267","","T2327 - DEFERRED COMPENSATION PLAN SERVICES                                                         ","Empower","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","04/01/2014","09/30/2025"
"86242","","T2792 - HEALTH CARE PROFILE SYSTEM                                                                  ","Maximus US Services, Inc","RFP/SC-SBE","$5,548,471.10","Division of Purchase and Property ","3PS - Sent","04/30/2014","04/30/2026"
"86013","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","Kimball Midwest","RFP/NJCOOP","$26,338.08","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"86011","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","Eastern Warehouse Distributors Inc.","RFP/NJCOOP","$3,157,814.61","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"86008","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","Al's On Line Auto Parts Inc","","$70,918.31","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"86005","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","Freehold Ford Inc","RFP/NJCOOP","$169,784.22","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"86004","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","Tonsa Automotive Corp","RFP/NJCOOP","$148.28","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"86003","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","GSAC Corp T/A Auto Parts Connection","RFP/NJCOOP","$308,192.07","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"85999","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","SUPERIOR DISTRIBUTORS CO INC","RFP/NJCOOP","$11,594.73","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"85998","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","United Motor Parts Inc","RFP/NJCOOP","$833,093.37","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"85995","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","FRED BEANS PARTS INC.","RFP/NJCOOP","$699,501.45","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"85994","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","Burlington County Auto Parts Inc","RFP/NJCOOP","$1,226,259.16","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"85992","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","SAMUELS INC","RFP/NJCOOP","$4,530,354.70","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"85991","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","BRUNOS INC","RFP/NJCOOP","$1,380,826.81","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"85969","","T1049 - PRINTING: UNIVERSAL TITLE FORMS - NJMVC                                                     ","RR Donnelley","RFP","$2,176,083.62","Division of Purchase and Property ","3PS - Sent","02/15/2014","08/14/2025"
"85886","","T1276 - FACILITIES MGT. SERVICES-TRENTON OFFICE COMPLEX,BANK ST.GARAGE,W.TRENTON COMPLEX","ASSOCIATION FOR CHOICES IN COMMUNITY SUPPORTS AND EMPLOYMENT SERVICES","N.J.S.A. 30:6-23 Set-Aside","$13,788,408.82","Division of Purchase and Property ","3PS - Sent","02/01/2014","01/31/2026"
"85864","","T2188 - PARTS & REPAIRS FOR ROAD MAINTENANCE    EQUIPMENT                                           ","NORCIA CORP","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","01/30/2014","11/29/2025"
"85860","","T2188 - PARTS & REPAIRS FOR ROAD MAINTENANCE    EQUIPMENT                                           ","United Rotary Brush Corporation","RFP/NJCOOP","$7,492.50","Division of Purchase and Property ","3PS - Sent","01/30/2014","11/29/2025"
"85857","","T2188 - PARTS & REPAIRS FOR ROAD MAINTENANCE    EQUIPMENT                                           ","W. E. Timmerman Co. Inc.","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","01/30/2014","11/29/2025"
"85856","","T2188 - PARTS & REPAIRS FOR ROAD MAINTENANCE    EQUIPMENT                                           ","TRIUS INC","RFP/NJCOOP","$9,139.69","Division of Purchase and Property ","3PS - Sent","01/30/2014","11/29/2025"
"85855","","T2188 - PARTS & REPAIRS FOR ROAD MAINTENANCE    EQUIPMENT                                           ","Discount Hydraulics Corp","RFP/NJCOOP","$33,214.86","Division of Purchase and Property ","3PS - Sent","01/30/2014","11/29/2025"
"85853","","T2188 - PARTS & REPAIRS FOR ROAD MAINTENANCE    EQUIPMENT                                           ","N E Auto & Truck Parts","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","01/30/2014","11/29/2025"
"85852","","T2188 - PARTS & REPAIRS FOR ROAD MAINTENANCE    EQUIPMENT                                           ","Charles A Michel llc","RFP/NJCOOP","$111,711.76","Division of Purchase and Property ","3PS - Sent","01/30/2014","11/29/2025"
"85851","","T2188 - PARTS & REPAIRS FOR ROAD MAINTENANCE    EQUIPMENT                                           ","Orchards Hydraulic Service Inc.","RFP/NJCOOP","$11,937.52","Division of Purchase and Property ","3PS - Sent","01/30/2014","11/29/2025"
"85850","","T2188 - PARTS & REPAIRS FOR ROAD MAINTENANCE    EQUIPMENT                                           ","Lawson Products Inc.","RFP/NJCOOP","$10,977.16","Division of Purchase and Property ","3PS - Sent","01/30/2014","11/29/2025"
"85016","","T1297 - VOICE COMMUNICATIONS NETWORK SERVICES                                                       ","AT&T","RFP/NJCOOP/SC-SBE","$20,348,348.69","Division of Purchase and Property ","3PS - Sent","10/01/2013","09/30/2025"
"84243","","G8049 - ELECTRONIC MONITORING SERVICES                                                              ","SENTINEL OFFENDER SERVICES    ","GSA/NJCOOP","$25,667.45","Division of Purchase and Property ","3PS - Sent","07/01/2013","12/30/2025"
"84242","","G8049 - ELECTRONIC MONITORING SERVICES                                                              ","BI INCORPORATED               ","GSA/NJCOOP","$4,245,010.48","Division of Purchase and Property ","3PS - Sent","07/01/2013","12/30/2025"
"84203","","T2879 - EPROCUREMENT SYSTEM TRANSFORMATION","Periscope Holdings Inc","RFP/SC-SBE","$13,223,546.44","Division of Purchase and Property ","3PS - Sent","06/25/2013","06/24/2028"
"84144","","T2884 - LOTTERY GROWTH MANAGEMENT SERVICES                                                          ","Northstar New Jersey Lottery Group LLC","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","06/20/2013","06/30/2029"
"84092","","M7008 - INMATE KIOSKS SYSTEMS                                                                       ","Jpay","NATCOOP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","02/01/2013","07/31/2025"
"84088","","T2854 - CENTRAL ISSUANCE OF LICENSE PLATES: Statewide","3M COMPANY                    ","RFP","$38,043,473.12","Division of Purchase and Property ","3PS - Sent","07/01/2013","06/30/2026"
"83932","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","L3Harris Technologies","RFP/NJCOOP","$3,991.50","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83931","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Procomm Systems Inc","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83927","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Kenwood USA Corp.","RFP/NJCOOP","$211,195.23","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83925","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Motorola Solutions Connectivity, Inc","RFP/NJCOOP","$2,638,015.86","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83924","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Zetron Inc","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83922","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Xybix Systems Inc","RFP/NJCOOP","$7,939.99","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83921","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Nice Systems","RFP/NJCOOP","$1,852,377.10","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83920","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Aviat Networks","RFP/NJCOOP","$405,191.42","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83917","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","ATLANTIC COMMUNICATIONS ELECTRONICS INC.","RFP/NJCOOP","$14,643.20","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83916","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","INTRADO LIFE & SAFETY SOLUTIONS CORPORATION","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83911","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","EF Johnson Co","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83909","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Motorola Solutions","RFP/NJCOOP","$109,778,388.34","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83907","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","R.F. Design & Integration Inc","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83906","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","kova corp","RFP/NJCOOP","$40,275.46","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83905","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Electronic Service Solutions Inc","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83904","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Gold Type Business Machines Inc","RFP/NJCOOP","$17,153.75","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83900","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Philip M. Casciano Associates Inc.","RFP/NJCOOP","$8,143,449.66","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83899","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","New Jersey Business Systems Inc.","RFP/NJCOOP","$189,575.26","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83898","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","NORTHEAST COMMUNICATIONS INC.","RFP/NJCOOP","$3,510.20","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83897","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","D.M. Radio Service Corp","RFP/NJCOOP","$75,146.36","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83895","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Essential Management Solutions","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
"83894","","T0109 - RADIO COMMUNICATION EQUIPMENT           AND ACCESSORIES                                     ","Mutualink Inc","RFP/NJCOOP","$110,622.88","Division of Purchase and Property ","3PS - Sent","05/01/2013","04/30/2026"
